"lower_95","upper_95","point_val","gensampsize","true_val","regcoeff"
0.0252911864845095,1.29421375838392,0.659752472434217,10,0.3,"Gluc_Chol"
-7.84323351745946,1.35270615590445,-3.24526368077751,10,0,"Gluc_BMI"
-2.15902057943832,1.81132509118914,-0.173847744124589,10,0,"Gluc_BP"
-0.0308866357020578,0.46349451198453,0.216303938141236,25,0.3,"Gluc_Chol"
-2.05459632545223,2.98253645674307,0.46397006564542,25,0,"Gluc_BMI"
-0.346981093928904,1.09782714951977,0.375423027795431,25,0,"Gluc_BP"
0.110238766153992,0.449666900991258,0.279952833572625,60,0.3,"Gluc_Chol"
-2.07911676449984,0.633155122399304,-0.72298082105027,60,0,"Gluc_BMI"
-0.193570117974166,0.519202591318052,0.162816236671943,60,0,"Gluc_BP"
0.256244185514244,0.399411583558456,0.32782788453635,147,0.3,"Gluc_Chol"
-0.844551378124865,0.50422809743444,-0.170161640345212,147,0,"Gluc_BMI"
-0.38716463209378,0.0305214554034395,-0.17832158834517,147,0,"Gluc_BP"
0.283871325168667,0.416089810123164,0.349980567645915,360,0.3,"Gluc_Chol"
-0.518336634401112,0.668420420416223,0.0750418930075554,360,0,"Gluc_BMI"
-0.156200114826689,0.192014180989281,0.0179070330812961,360,0,"Gluc_BP"
0.226790989320888,0.307800720160173,0.267295854740531,880,0.3,"Gluc_Chol"
-0.344271542690824,0.449626195473411,0.0526773263912933,880,0,"Gluc_BMI"
-0.0497215807996189,0.179617920748393,0.0649481699743873,880,0,"Gluc_BP"
0.285594214045264,0.331271520255954,0.308432867150609,2155,0.3,"Gluc_Chol"
-0.305558051876814,0.119578803513258,-0.0929896241817783,2155,0,"Gluc_BMI"
-0.0516469262482089,0.0894294708337628,0.018891272292777,2155,0,"Gluc_BP"
0.292527328212351,0.32272715165701,0.307627239934681,5275,0.3,"Gluc_Chol"
-0.225559856593354,0.0558421265101182,-0.0848588650416181,5275,0,"Gluc_BMI"
-0.0476254220134695,0.038390242712071,-0.00461758965069926,5275,0,"Gluc_BP"
0.316369753187807,0.336329601533932,0.326349677360869,12916,0.3,"Gluc_Chol"
0.00908802545230145,0.180649924838806,0.0948689751455536,12916,0,"Gluc_BMI"
-0.020528634821612,0.0320015001926354,0.00573643268551169,12916,0,"Gluc_BP"
0.328255310791679,0.341218414473786,0.334736862632733,31623,0.3,"Gluc_Chol"
-0.0387684963670523,0.0744780028885089,0.0178547532607283,31623,0,"Gluc_BMI"
-0.0273248902282395,0.0069739003305352,-0.0101754949488522,31623,0,"Gluc_BP"
